ISSY-LES-MOULINEAUX;11;8390.29;92130
CHENEDOLLE;1;226.25;14410
LA GAUDE;1;50;06610
SAINT-VALLIER;3;430;71230
AVAILLES-EN-CHATELLERAULT;1;150;86530
PUTEAUX;10;1894.51;92800
SAINT GERMAIN DU PUCH;1;180;33750
QUILY;1;150;56800
CHOLET;6;1052.13;49300
LIBOURNE;4;610;33500
FRESNES;5;570;94260
LES MONTILS;1;150;41120
EVREUX;3;580;27000
ARGENTEUIL;11;3180.16;95100
CHÂTEAU-THIERRY;1;402.13;02400
ALIZAY;2;467.13;27460
CLOYES-SUR-LE-LOIR;2;376.1;28220
JUZIERS;2;195;78820
LE PERREUX-SUR-MARNE;6;540;94170
MARQUISE;1;130;62250
VERSAILLES;18;1670;78000
CORNEBARRIEU;4;640;31700
LEGE-CAP-FERRET;3;480;33970
REZE;6;1086.25;44400
CHOISY-LE-ROI;4;1360;94600
STIRING-WENDEL;2;300;57350
EPEHY;1;246.25;80740
DONVILLE-LES-BAINS;4;656.25;50350
BANDOL;6;1721.2600000000002;83150
CHAPAREILLAN;1;376.25;38530
LA FEUILLIE;1;130;76220
BEDEE;1;0;35137
BRON;11;920;69500
RIBECOURT-DRESLINCOURT;1;150;60170
AUBAGNE;3;769.1;13400
LA VILLE-AUX-DAMES;1;226.25;37700
SAINT-MAUR-DES-FOSSES;8;820;94210
CHAMALIERES;6;1906.25;63400
SOUZAY-CHAMPIGNY;1;402.13;49400
ROCHE-LA-MOLIERE;1;150;42230
MALAUNAY;1;150;76770
HENIN-BEAUMONT;2;330;62110
LE GRAU-DU-ROI;3;595;30240
COLLONGES-SOUS-SALEVE;5;710;74160
RIVIERE-SAAS-ET-GOURBY;1;150;40180
PLUVIGNER;3;450;56330
BOLBEC;2;400;76210
JOUY-EN-JOSAS;3;300;78350
COLOMIERS;2;651.11;31770
LEUCATE;3;526.25;11370
LÉZIGNEUX;1;1049.32;42600
MONTGERON;6;1635.35;91230
LEVALLOIS-PERRET;11;1075;92300
ÉCROUVES;2;874.26;54200
HINDISHEIM;1;246.25;67150
GARDANNE;6;879.1;13120
SALON-DE-PROVENCE;4;952.13;13300
NOISY-LE-GRAND;9;1166.25;93160
CHÂTEAUGIRON;1;352.13;35410
MUTZIG;3;450;67190
BOULOGNE-SUR-MER;5;730;62200
CHARTRES-DE-BRETAGNE;4;635;35131
VAULX-EN-VELIN;11;3291.6;69120
MOUY;1;696.25;60250
LE PALAIS-SUR-VIENNE;2;766.39;87410
MARCQ-EN-BAROEUL;12;1730;59700
VERTAIZON;2;310;63910
BEAUVOISIN;1;150;30640
QUESTEMBERT;3;2977.94;56230
TOURNAN-EN-BRIE;3;330;77220
GISORS;5;780;27140
PONTCHARRA-SUR-TURDINE;1;180;69490
ARLES;10;6546.25;13200
GRANVILLE;3;280;50400
BEAUVAIS;12;2018.38;60000
BLOTZHEIM;2;300;68730
CHOUY;1;150;02210
BRIVE-LA-GAILLARDE;8;1677.13;19100
MAISONS-LAFFITTE;5;400;78600
CHAUNY;2;300;02300
ARCACHON;5;840;33120
MONTAUBAN-DE-BRETAGNE;2;330;35360
MESCHERS-SUR-GIRONDE;1;532.13;17132
COGOLIN;3;652.13;83310
GOVEN;2;519.1;35580
L'ISLE-D'ABEAU;2;280;00038
SAINT-REMY-DE-PROVENCE;3;410;23300
BUHY;1;280;95770
LE PETIT-QUEVILLY;6;1010;76140
WECKOLSHEIM;1;536.25;68600
ROISSY-EN-BRIE;4;600;77680
SAINT-JEAN-DE-LA-RUELLE;2;773.39;45140
BEGLE;1;382.13;33130
BRESSOLS;4;832.13;82710
CARCÈS;2;744.26;83570
VENDENHEIM;1;130;67550
CHARNAY-LES-MACON;3;536.25;71850
L'AIGLE;1;130;61300
MEGEVE;1;150;74120
CHAMBERY;17;2531.25;73000
SAINT-ANDRE-LES-VERGERS;2;260;10120
TARN;1;332.13;81100
L'ISLE-ADAM;8;430;95290
SAINT-GERMAIN;1;150;10120
ETOGES;1;180;51270
PREHY;1;130;89800
LE CHATEAU-D'OLONNE;1;150;85180
BEAURAINS;2;376.25;62217
CHATEAUNEUF;1;150;85710
IGNY;4;525;91430
SAINTE-SOULLE;1;130;17220
VILLERS-COTTERETS;1;130;02600
ROSNY-SUR-SEINE;2;300;78710
COURCELLES-CHAUSSY;1;502.13;57530
ECULLY;1;269.1;69130
SENE;1;130;56860
SCHILTIGHEIM;6;932.5;67300
BEAUSOLEIL;2;289.1;06240
DONCOURT-LES-CONFLANS;1;130;54800
NARBONNE;10;2721.89;11100
NÎMES;5;1693.3600000000001;30000
MORTEAU;6;1232.5;25500
RESSONS-SUR-MATZ;1;130;60490
LARMOR-PLAGE;3;300;56260
MIDI-PYRÉNÉES;2;1047.94;65000
VALENCIENNES;11;6185.59;59300
LAMBESC;2;930;13410
ANNECY-LE-VIEUX;9;1898.8;74940
CHÂTEAUNEUF-SUR-LOIRE;1;426.55;45110
PUBLIER;1;180;74500
SORBIERS;2;260;42290
SAINT-AUBIN-DU-CORMIER;1;130;35140
DUN-SUR-AURON;1;300.53;18130
MONTPITOL;1;150;31380
SAINT-CYR-SOUS-DOURDAN;1;150;91410
SAINT-DENIS-DE-PILE;1;150;33910
TERVILLE;2;3397.96;57180
SAINT-BRIEUC;20;4325.98;22000
SANGUINET;4;510;40460
MONTARGIS;2;280;45200
SAUTRON;2;280;44880
BISCHHEIM;3;409.1;67800
ISTRES;6;870;13800
VERNEGUES;1;130;13116
LIMETZ-VILLEZ;1;150;78270
VAUX-SUR-MER;3;410;17640
VOIRON;3;609.1;38500
SAINTE-MAXIME;7;1242.13;83120
GIROMAGNY;1;150;90200
AVENSAN;1;280;33480
COMBS-LA-VILLE;3;280;77380
LESCAR;3;410;64230
TALANT;3;450;21240
CARBONNE;2;310;31390
DUNKERQUE;12;2157.13;59140
CHAMPIGNY-SUR-MARNE;9;1452.13;94500
FALAISE;3;410;14700
DAMPRICHARD;1;502.13;25450
ESTAGEL;1;402.13;66310
CALVADOS;1;432.13;14200
BERNIERES-SUR-MER;1;130;14990
SAINT-PAUL-DE-JARRAT;1;180;09000
MARSAC-SUR-L'ISLE;2;1113.35;24430
SAINT-CERGUES;3;430;74140
MUNDOLSHEIM;3;325;67450
SAINT-ARNOULT-EN-YVELINES;2;150;78730
GUENANGE;1;150;57310
PLAN-DE-CUQUES;3;409.1;13380
PARTHENAY;2;760;79200
BALLANCOURT-SUR-ESSONNE;1;150;91610
OISSEL;4;1182.13;76350
MURET;4;1122.13;31600
BEUGIN;1;150;62150
LIVRY-GARGAN;4;645;93190
SARCELLES;3;376.25;95200
HAYANGE;1;150;57700
MOISSY-CRAMAYEL;4;1250;77550
MARLENHEIM;2;300;67520
CHATEAUBERNARD;1;130;16100
HIRSON;4;580;02500
RONCHIN;1;1487.13;59790
CINTRAY;1;150;28300
PELLEPORT;1;215;31480
HAUTMONT;1;130;59330
RIVAS;2;756.25;42340
SAINT-MATHIEU-DE-TREVIERS;1;150;34270
COURBEVOIE;19;6267.03;92400
PERROS-GUIREC;5;945.67;22700
ISSOU;1;150;78440
LE PRADET;5;330;83220
BAUGÉ EN ANJOU;1;921.23;49150
BALMA;6;1122.3600000000001;31130
ZILLISHEIM;2;412.5;68720
CHENOVE;1;150;21300
SOUPPES-SUR-LOING;1;130;77460
REPLONGES;1;526.25;01750
BELLEGARDE-SUR-VALSERINE;3;430;01200
TORREILLES;3;546.25;66440
BULLY-LES-MINES;6;1137.13;62160
MARGUERITTES;2;300;30320
NETTANCOURT;1;130;55800
SAVOIE;1;532.13;73200
PAMIERS;4;1134.26;09100
NOYON;3;515;60400
LE LAVANDOU;3;580;83980
FRIGNICOURT;1;367.13;51300
LEYRIEU;1;492.13;38460
LUGOS;1;65;33830
